Timestamp,1. Ik begrijp de strategische betekenis van digitalisering voor de HAN ____ .,2. Ik ben ____ overtuigd van de capaciteiten van de HAN-organisatie op het gebied van digitalisering.,3. Binnen mijn afdeling / opleiding zijn er ____ digitale leiders.,4. Digitalisering wordt bij onze afdeling / opleiding ____ aangepakt.,5. Digitalisering heeft momenteel ____ positie binnen het beleid van onze afdeling / opleiding.,6. Onze afdeling / opleiding heeft de risico's omtrent digitalisering ____ in kaart.,7. Binnen onze afdeling / opleiding worden bij het ontwerp van digitale toepassingen mens en proces ____ meegenomen.,8. Bij onze afdeling / opleiding zijn de organisatorische gevolgen van digitalisering en bijbehorende rollen en verantwoordelijkheden ____ duidelijk.,9. Bij onze afdeling / opleiding is het niveau van digitale vaardigheden ____ .,10. De mate waarop onze afdeling / opleiding zich ontwikkelt op het gebied van digitalisering wordt ____ bijgehouden.,11. Digitalisering heeft tot nu toe een ____ effect gehad op gedrag en gewoontes binnen onze afdeling / opleiding.,12. Wij hebben ____ toegang tot digitale technologie en bijbehorende ondersteuning.,Toegewezen Persona
16/02/2023 10:53:03,grotendeels,redelijk,weinig,ad-hoc,een marginale,gedeeltelijk,meestal,gedeeltelijk,gemiddeld,onvolledig en ad-hoc,beperkt,redelijke,De Stabiele Integrator
16/02/2023 10:53:25,vaag,matig,weinig,niet,geen,niet,niet,niet,matig,onvolledig en ad-hoc,beperkt,beperkte,De Ontluikende Ontdekker
16/02/2023 10:53:25,vaag,matig,weinig,ad-hoc,een marginale,niet,sporadisch,niet,nihil,onvolledig en ad-hoc,beperkt,geen,De Ontluikende Ontdekker
16/02/2023 10:53:29,gedeeltelijk,redelijk,weinig,ad-hoc,een evenwichtige,gedeeltelijk,soms,enigszins,matig,onvolledig en ad-hoc,zichtbaar,redelijke,De Stabiele Integrator
16/02/2023 10:53:42,niet,niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,Weet niet,De Ontluikende Ontdekker
16/02/2023 10:53:50,niet,grotendeels,Weet niet,Weet niet,een evenwichtige,vaag,meestal,enigszins,gemiddeld,Weet niet,zichtbaar,goede,De Ontluikende Ontdekker
16/02/2023 10:53:50,gedeeltelijk,grotendeels,een aantal,ad-hoc,een marginale,vaag,sporadisch,gedeeltelijk,matig,onvolledig en ad-hoc,belangrijk,redelijke,De Stabiele Integrator
16/02/2023 10:53:51,heel goed,redelijk,een aantal,enigszins integraal,een evenwichtige,grotendeels,soms,enigszins,gemiddeld,onvolledig en ad-hoc,beperkt,goede,De Stabiele Integrator
16/02/2023 10:53:56,gedeeltelijk,matig,een aantal,ad-hoc,een marginale,vaag,soms,gedeeltelijk,matig,onvolledig en ad-hoc,zichtbaar,redelijke,De Stabiele Integrator
16/02/2023 10:54:13,heel goed,matig,weinig,ad-hoc,een marginale,gedeeltelijk,altijd,gedeeltelijk,gemiddeld,goed,beperkt,redelijke,De Stabiele Integrator
